Szó,Szófajok
agráregyetem,főnév
agrárkapitalizmus,főnév
agrárkérdés,főnév
agrárolló,főnév
agrárpárt,főnév
agrárpolitika,főnév
agrárproletár,főnév
agrárszocialista,főnév|melléknév
agrárszocializmus,főnév
agrártudomány,főnév
agrárválság,főnév
agresszió,főnév
agresszív,melléknév
agresszor,főnév
agrobiológia,főnév
agrokémia,főnév
ágrólszakadt,főnév|melléknév
agronómus,főnév
agrotechnika,főnév
ágseprű,főnév
agy,főnév
ágy,főnév
agyabugyál,ige
agyafúrt,melléknév
agyag,főnév
agyagáru,főnév
agyaggalamb,főnév
agyagipar,főnév
agyagminta,főnév
agyagos,melléknév
agyal,ige
ágyal,ige
agyalágyult,melléknév
agyar,főnév
agyarkodik,ige
ágyas,főnév|melléknév
ágyás,főnév
ágyasház,főnév
ágyaz,ige
ágyazás,főnév
ágyazat,főnév
agyba-főbe,határozószó
agybaj,főnév
agybarázda,főnév
ágybeli,főnév
ágybetét,főnév
ágybontás,főnév
agyburok,főnév
agydaganat,főnév
ágydeszka,főnév
ágyék,főnév
ágyékkendő,főnév
ágyékzsába,főnév
ágyelő,főnév
agy-érelmeszesedés,főnév
ágyfej,főnév
agyhártya,főnév
agyhártyagyulladás,főnév
ágyhuzat,főnév
ágykabát,főnév
agykéreg,főnév
agykoponya,főnév
ágyláb,főnév
agylágyulás,főnév
agylékelés,főnév
ágymelegítő,főnév|melléknév
agymunka,főnév
agyműködés,főnév
ágynemű,főnév
agyon,igekötő
agyonbeszél,ige
agyoncsap,ige
agyoncsépelt,melléknév
agyoncsigáz,ige
agyondicsér,ige
agyondolgoztat,ige
agyongázol,ige
agyonhajszol,ige
agyonhallgat,ige
agyonkínoz,ige
agyonlő,ige
agyonnyom,ige
agyonrúg,ige
agyonsújt,ige
agyonszorít,ige
agyonszúr,ige
agyontapos,ige
agyonüt,ige
agyonvág,ige
agyonver,ige
agyonzúz,ige
ágyrajáró,főnév
agyrázkódás,főnév
agyrém,főnév
agyszélhűdés,főnév
agyszülemény,főnév
ágytakaró,főnév
ágytál,főnév
ágytárs,főnév
agytekervény,főnév
ágyterítő,főnév
ágytoll,főnév
agytröszt,főnév
ágyú,főnév
ágyúállás,főnév
ágyúcső,főnév
ágyúdörgés,főnév
ágyúgolyó,főnév
ágyúharc,főnév
ágyúlövés,főnév
ágyúnaszád,főnév
ágyús,főnév|melléknév
ágyúszó,főnév
agyusztál,ige
ágyútaliga,főnév
ágyútalp,főnév
ágyútorok,főnév
ágyútöltelék,főnév
ágyútűz,főnév
ágyúüteg,főnév
ágyúz,ige
agyvelő,főnév
agyvelőgyulladás,főnév
agyvérszegénység,főnév
agyvértolulás,főnév
agyvérzés,főnév
agyvízkór,főnév
ah,főnév|indulatszó
áh,indulatszó
aha,indulatszó|mondatszó
áhá,indulatszó
ahajt,határozószó
ahán,indulatszó
ahány,névmás
ahányadik,névmás
ahányadszor,határozószó
ahányféle,névmás
ahelyett,határozószó
ahhoz,névmás
áhít,ige
áhítat,főnév
áhítatos,melléknév
áhítatoskodik,ige
áhítatosság,főnév
áhított,melléknév
áhítozik,ige
ahogy,határozószó
ahogyan,határozószó
ahol,határozószó
ahonnan,határozószó
ahonnét,határozószó
ahova,határozószó
aisz,főnév
aj,indulatszó
áj,indulatszó
ajaj,indulatszó
ajak,főnév
ajakbiggyesztés,főnév
ajakhang,főnév
ajakír,főnév
ajakkerekítés,főnév
ajakos,főnév|melléknév
ajakpirosító,főnév
ajakrúzs,főnév
ajaksíp,főnév
ajándék,főnév
ajándékcsomag,főnév
ajándékkönyv,főnév
ajándékműsor,főnév
ajándékoz,ige
ajándékozás,főnév
ajándéktárgy,főnév
ajándok,főnév
ajánl,ige
ajánlás,főnév
ajánlat,főnév
ajánlatos,melléknév
ajánlattevő,főnév|melléknév
ajánlgat,ige
ajánlkozik,ige
ajánló,főnév|melléknév
ajánlólevél,főnév
ajánlott,főnév|melléknév
ájer,főnév
ajjaj,indulatszó
ajk,főnév
ajkú,főnév|melléknév
ajnároz,ige
ajnye,indulatszó
ajóka,főnév
ajókagyűrű,főnév
ájtatos,melléknév
ájtatoskodik,ige
ájtatosság,főnév
ajtó,főnév
ajtóbélés,főnév
ajtócsukó,főnév|melléknév
ajtófélfa,főnév
ajtóhasadék,főnév
ajtókeret,főnév
ajtókopogtató,főnév
ajtókulcs,főnév
ajtómélyedés,főnév
ajtónálló,főnév|melléknév
ajtónyílás,főnév
ajtórés,főnév
ajtós,melléknév
ajtósarok,főnév
ajtószám,főnév
ajtószárfa,főnév
ajtószárny,főnév
ajtótok,főnév
ajtóvasalás,főnév
ajtóvédő,főnév
ajtózseb,főnév
ájul,ige|főnév
ájulás,főnév
ájulat,főnév
ájuldozik,ige
ájult,melléknév
ájultság,főnév
akác,főnév
akácerdő,főnév
akácfa,főnév
akácméz,főnév
akácos,főnév|melléknév
akácsor,főnév
akácvirág,főnév
akad,ige
akadály,főnév
akadályfutás,főnév
akadályoz,ige
akadályoztatás,főnév
akadálytalan,melléknév
akadályverseny,főnév
akadék,főnév
akadékos,melléknév
akadékoskodik,ige
akadémia,főnév
akadémikus,főnév|melléknév
akadémista,főnév
akadozik,ige
akantusz,főnév
akar,ige|határozószó|kötőszó
akár,határozószó|kötőszó
akarás,főnév
akarat,főnév
akaraterő,főnév
akaratgyengeség,főnév
akarathiány,főnév
akarati,melléknév
akaratlan,melléknév
akaratnyilvánítás,főnév
akaratos,melléknév
akaratoskodik,ige
akaratszabadság,főnév
akarattalan,melléknév
akárcsak,kötőszó
akárha,kötőszó
akárhány,névmás
akárhányadik,névmás
akárhányféle,névmás
akárhányszor,névmás
akárhogy,határozószó
akárhol,határozószó
akárhonnan,határozószó
akárhonnét,határozószó
akárhova,határozószó
akárki,névmás
akárkicsoda,névmás
akármeddig,határozószó
akármekkora,névmás
akármely,névmás
akármelyik,névmás
akármennyi,névmás
akármennyiedik,névmás
akármennyire,határozószó
akármerre,határozószó
akármerről,határozószó
akármi,névmás
akármicsoda,névmás
akármicsodás,névmás
akármiféle,névmás
akármikor,határozószó
akármilyen,névmás
akárminemű,névmás
akárminő,névmás
akármint,határozószó
akarnok,főnév
akaródzik,ige
akaszkodik,ige
akaszt,ige
akasztás,főnév
akasztó,főnév|melléknév
akasztófa,főnév
akasztófahumor,főnév
akasztófáravaló,főnév
akasztófavirág,főnév
akasztós,melléknév
akasztott,melléknév
akcentus,főnév
akceptál,ige
akció,főnév
akcióképes,melléknév
akciós,melléknév
aki,névmás
akként,névmás|határozószó
akképpen,névmás|határozószó
akklimatizál,ige
akklimatizálódik,ige
akkommodál,ige
akkor,határozószó
akkora,névmás
akkorában,határozószó
akkorára,határozószó
akkord,főnév
akkordbér,főnév
akkordmunka,főnév
akkordrendszer,főnév
akkori,névmás
akkoriban,határozószó
akkorka,névmás
akkoron,határozószó
akkortájban,határozószó
akkortájt,határozószó
akkreditál,ige
akkumuláció,főnév
akkumulál,ige
akkumulátor,főnév
akkurátus,melléknév
akna,főnév
aknaharc,főnév
aknakutató,főnév|melléknév
aknamező,főnév
aknamunka,főnév
aknarakó,főnév|melléknév
aknarobbanás,főnév
aknás,melléknév
aknásít,ige
aknász,főnév
aknaszedő,főnév|melléknév
aknaszén,főnév
aknaszilánk,főnév
aknatalálat,főnév
aknatölcsér,főnév
aknatűz,főnév
aknavető,főnév|melléknév
aknáz,ige
aknazár,főnév
akó,főnév
akol,főnév
akolófa,főnév
akolópálca,főnév
ákombákom,főnév
akona,főnév
ákontó,főnév|határozószó
akós,melléknév
ákovita,főnév
akóz,ige
akörül,határozószó
aközben,határozószó
aközött,határozószó
akríbia,főnév
akrobata,főnév
akromatikus,melléknév
akrosztichon,főnév
akt,főnév
akta,főnév
aktahalmaz,főnév
aktatáska,főnév
aktatologatás,főnév
aktáz,ige
aktfestő,főnév
aktív,melléknév
aktíva,főnév
aktivista,főnév
aktivitás,főnév
aktivizál,ige
aktivizmus,főnév
aktrajz,főnév
aktuális,melléknév
aktualitás,főnév
aktualizálódik,ige
aktus,főnév
akusztika,főnév
akut,melléknév
akvarell,főnév
akvarellfesték,főnév
akvarellfestő,főnév
akvarellista,főnév
akvárium,főnév
akvirál,ige
akvizíció,főnév
al,főnév
ál,melléknév
alá,határozószó|névutó|igekötő
aláaknáz,ige
aláás,ige
alabárd,főnév
alabárdos,főnév|melléknév
alabástrom,főnév
alább,határozószó|igekötő
alábbhagy,ige
alábbi,főnév|melléknév
alábbszáll,ige
alábbszállít,ige
alábbvaló,melléknév
alábecsül,ige
alábocsát,ige
alábocsátkozik,ige
aláboltoz,ige
alábukik,ige
alábuktat,ige
alacsony,melléknév
alacsonyít,ige
alacsonyodik,ige
alacsonyrendű,melléknév
alacsonyság,főnév
aládúcol,ige
aláereszkedik,ige
aláértékel,ige
aláfalaz,ige
aláfekszik,ige
aláfelé,határozószó
aláfest,ige
aláfestés,főnév
aláfirkant,ige
aláfolyik,ige
aláfordít,ige
aláfordul,ige
aláfut,ige
aláfűt,ige
alagcső,főnév
alagcsövez,ige
alagsor,főnév
alagút,főnév
alagya,főnév
alágyújt,ige
alágyújtós,főnév
aláhajlik,ige
aláhajol,ige
aláhanyatlik,ige
aláhull,ige
aláhúz,ige
aláhúzás,főnév
aláír,ige
aláírás,főnév
aláírásgyűjtés,főnév
aláíratlan,melléknév|határozószó
aláíró,főnév|melléknév
alája,határozószó|névutó
alájegyez,ige
alak,főnév
alakfa,főnév
alakhű,melléknév
alaki,melléknév
alakiság,főnév
alakít,ige
alakítás,főnév
alakítható,melléknév
alakmás,főnév
alakor,főnév
alakos,főnév|melléknév
alakoskodás,főnév
alakoskodik,ige
alakoskodó,főnév|melléknév
alakpár,főnév
alakrajz,főnév
alakszerű,melléknév
alaktalan,melléknév
alaktan,főnév
alakú,melléknév
alakul,ige
alakulás,főnév
alakulat,főnév
alakutánzás,főnév
alakváltozat,főnév
alakvas,főnév
alakzat,főnév
alakzó,főnév
alálibeg,ige
álamatőr,főnév
alámerít,ige
alámerül,ige
alamizsna,főnév
alamizsnálkodik,ige
alamizsnás,főnév|melléknév
alámos,ige
alamuszi,főnév|melléknév
alán,főnév|melléknév
alánéz,ige
alant,melléknév|határozószó
alantas,főnév|melléknév
alanti,melléknév
alantos,főnév|melléknév
alany,főnév
alanyeset,főnév
alanyi,melléknév
alanyiság,főnév
alányúl,ige
alányúlik,ige
alap,főnév
alapadag,főnév
alapalak,főnév
alapállás,főnév
alapanyag,főnév
alapár,főnév
alapárok,főnév
alapbér,főnév
alapdíj,főnév
alapelem,főnév
alapelv,főnév
alapépítmény,főnév
alapeszme,főnév
alapfal,főnév
alapfeltétel,főnév
alapfizetés,főnév
alapfogalom,főnév
alapfok,főnév
alapforma,főnév
alapgondolat,főnév
alaphang,főnév
alaphangsor,főnév
alaphangzat,főnév
alaphelyzet,főnév
alapigazság,főnév
alapige,főnév
alápincéz,ige
alapismeret,főnév
alapít,ige
alapítás,főnév
alapító,főnév|melléknév
alapítvány,főnév
alapjelentés,főnév
alapkiképzés,főnév
alapkő,főnév
alapkőletétel,főnév
alaplap,főnév
alapművelet,főnév
alapnyelv,főnév
alapokmány,főnév
alapos,melléknév
alaposság,főnév
alapoz,ige
alapozás,főnév
alappillér,főnév
alappont,főnév
alaprajz,főnév
alapszabály,főnév
alapszám,főnév
alapszerv,főnév
alapszervezet,főnév
alapszik,ige
alapszín,főnév
alapszó,főnév
alapszókincs,főnév
alaptalan,melléknév
alaptermészet,főnév
alapterület,főnév
alaptétel,főnév
alaptőke,főnév
alaptörvény,főnév
alapul,ige
alapvetés,főnév
alapvető,főnév|melléknév
alapvizsga,főnév
alapvizsgálat,főnév
alapvizsgázik,ige
alapvonal,főnév
alapvonás,főnév
alapzat,főnév
álarc,főnév
álarcos,főnév|melléknév
álarcosbál,főnév
alárendel,ige
alárendelés,főnév
alárendelő,melléknév
alárendelt,főnév|melléknév
alárendeltség,főnév
alarm,főnév
alarmíroz,ige
alássan,határozószó
alászáll,ige
alászánt,ige
alászolgája,főnév|mondatszó
alátámaszt,ige
alátekint,ige
alátesz,ige
alátét,főnév
alatt,határozószó|névutó
alatta,határozószó|névutó
alattas,főnév|melléknév
alatti,melléknév
alattomban,határozószó
alattomos,melléknév
alattomoskodik,ige
alattomosság,főnév
alattos,főnév|melléknév
alattság,főnév
alattvaló,főnév|melléknév
alávaló,melléknév
alávalóság,főnév
aláver,ige
alávet,ige
alávetett,melléknév
aláz,ige
alázat,főnév
alázatos,melléknév
alázatoskodik,ige
alázatosság,főnév
alázkodik,ige
alázuhan,ige
albán,főnév|melléknév
albérlet,főnév
albérleti,főnév|melléknév
albérlő,főnév|melléknév
albínó,főnév|melléknév
albíró,főnév
albizottság,főnév
álborda,főnév
álbölcsesség,főnév
album,főnév
albumin,főnév
álca,főnév
álcáz,ige
álcázás,főnév
alcím,főnév
alcsalád,főnév
alcsoport,főnév
áld,ige
áldás,főnév
áldásos,melléknév
áldatlan,melléknév
áldó,főnév|melléknév
áldomás,főnév
áldott,főnév|melléknév
áldoz,ige
áldozár,főnév
áldozás,főnév
áldozat,főnév
áldozatkész,melléknév
áldozatos,melléknév
áldozó,főnév|melléknév
áldozócsütörtök,főnév
áldozópap,főnév
áldozta,főnév
áldoztat,ige
alél,ige
alelnök,főnév
alélt,melléknév
alépítmény,főnév
alexandrin,főnév
alezredes,főnév
alfa,főnév
alfabetikus,melléknév
alfaj,főnév
alfejezet,főnév
alfél,főnév
alföld,főnév
alföldi,főnév|melléknév
algebra,főnév
algimnázium,főnév
álgyú,főnév
alhadnagy,főnév
álhaj,főnév
alhas,főnév
alhatnék,főnév
álhír,főnév
alibi,főnév
alig,határozószó|kötőszó
alig-alig,határozószó
aligazgató,főnév
aligha,határozószó
alighanem,határozószó
alighogy,határozószó|kötőszó
alispán,főnév
alít,ige
alj,főnév
alja,főnév|melléknév
aljas,főnév|melléknév
aljasít,ige
aljasodik,ige
aljasság,főnév
aljasul,ige
aljaz,ige
aljazás,főnév
aljegyző,főnév
aljlevél,főnév
aljzat,főnév
alkáli,főnév|melléknév
alkálikus,melléknév
alkalmas,főnév|melléknév
alkalmasint,határozószó
alkalmatlan,főnév|melléknév
alkalmatlankodik,ige
alkalmatlanság,főnév
alkalmatos,melléknév
alkalmatosság,főnév
alkalmaz,ige
alkalmazás,főnév
alkalmazkodás,főnév
alkalmazkodik,ige
alkalmazó,főnév|melléknév
alkalmazott,főnév|melléknév
alkalmaztatás,főnév
alkalmi,melléknév
alkaloida,főnév
alkalom,főnév
alkalomadtán,határozószó
alkalomszerű,melléknév
alkar,főnév
alkat,főnév
alkati,melléknév
alkatrész,főnév
alkímia,főnév
alkimista,főnév
alkirály,főnév
alkohol,főnév
alkoholellenes,melléknév
alkoholista,főnév|melléknév
alkoholizmus,főnév
alkoholmentes,melléknév
alkoholmérgezés,főnév
alkoholos,melléknév
alkoholtilalom,főnév
alkony,főnév
alkonyat,főnév
alkonyati,melléknév
alkonycsillag,főnév
alkonyfény,főnév
alkonyi,melléknév
alkonyodik,ige
alkonypír,főnév
alkonyul,ige
alkonyulat,főnév
alkormányzó,főnév
alkot,ige
alkotás,főnév
alkotmány,főnév
alkotmányellenes,melléknév
alkotmányjog,főnév
alkotmánylevél,főnév
alkotmányos,melléknév
alkotmányosdi,főnév
alkotmányosság,főnév
alkotmányozó,melléknév
alkotmányreform,főnév
alkotmánytan,főnév
alkotmánytörténet,főnév
alkotó,főnév|melléknév
alkotóelem,főnév
alkotóképesség,főnév
alkotórész,főnév
alkóv,főnév
alkörmös,főnév
alközpont,főnév
alku,főnév
alkudozás,főnév
alkudozik,ige
álkulcs,főnév
alkusz,főnév
alkuszdíj,főnév
alkuszik,ige
alkuvás,főnév
áll,ige|főnév
álladalom,főnév
álladék,főnév
álladzó,főnév
állag,főnév
állam,főnév
államadósság,főnév
államalapítás,főnév
államalkotó,főnév|melléknév
államapparátus,főnév
állambölcselet,főnév
államcsíny,főnév
államcsőd,főnév
államelmélet,főnév
államelnök,főnév
államérdek,főnév
állameszme,főnév
állameszmény,főnév
államfelforgató,főnév|melléknév
államférfi,főnév
államfogház,főnév
államfogság,főnév
államforma,főnév
államfő,főnév
államgazdaság,főnév
államgazdaságtan,főnév
államgépezet,főnév
államhatalom,főnév
államhatár,főnév
államháztartás,főnév
állami,melléknév
államigazgatás,főnév
államiság,főnév
államjog,főnév
államkapitalizamus,főnév
államkassza,főnév
államkincstár,főnév
államkölcsön,főnév
államkölcsönkötvény,főnév
államköltség,főnév
államköltséges,melléknév
államkötvény,főnév
államközi,melléknév
államminiszter,főnév
államnyelv,főnév
államosít,ige
államosítás,főnév
állampapír,főnév
állampénztár,főnév
állampolgár,főnév
állampolgári,melléknév
állampolgárság,főnév
államregény,főnév
államrend,főnév
államrendészet,főnév
államrendőrség,főnév
államrendszer,főnév
államsegély,főnév
államsorsjáték,főnév
államsorsjegy,főnév
államszámvitel,főnév
államszervezet,főnév
államszerződés,főnév
államszocializmus,főnév
államszövetség,főnév
államtan,főnév
államtanács,főnév
államtitkár,főnév
államtitok,főnév
államtudomány,főnév
államügy,főnév
államügyész,főnév
államvagyon,főnév
államvallás,főnév
államvasút,főnév
államvédelem,főnév
államvédelmi,melléknév
államvizsga,főnév
állandó,főnév|melléknév
állandóság,főnév
állandósít,ige
állandósul,ige
állapot,főnév
állapothatározó,főnév
állapotjelző,főnév
állapotos,főnév|melléknév
állás,főnév
állásdeszka,főnév
állásfa,főnév
állásfoglalás,főnév
álláshalmozás,főnév
állásharc,főnév
állásközvetítő,főnév|melléknév
állásnélküli,főnév|melléknév
álláspont,főnév
állástalan,főnév|melléknév
állásvesztés,főnév
állat,főnév|ige
állatalak,főnév
állatállomány,főnév
állatbetegség,főnév
állatbőr,főnév
állatcsalád,főnév
állategészségügy,főnév
állatélettan,főnév
állateposz,főnév
állatetető,főnév|melléknév
állatfaj,főnév
állatfestő,főnév
állatföldrajz,főnév
állathang,főnév
állathívogató,főnév|melléknév
állati,melléknév
állatias,melléknév
állatidomítás,főnév
állatka,főnév
állatkép,főnév
állatkereskedés,főnév
állatkert,főnév
állatkínzás,főnév
állatkitömő,főnév
állatkör,főnév
állatlélektan,főnév
állatmese,főnév
állatnem,főnév
állatnév,főnév
állatóriás,főnév
állatország,főnév
állatorvos,főnév
állatorvostan,főnév
állatöv,főnév
állatregény,főnév
állatrend,főnév
állatrendszertan,főnév
állatsereglet,főnév
állatszaporulat,főnév
állatszelídítő,főnév
állattan,főnév
állattár,főnév
állattartás,főnév
állattartó,főnév|melléknév
állattenyésztés,főnév
állattenyésztő,főnév|melléknév
állatvásár,főnév
állatvédelem,főnév
állatvédő,főnév|melléknév
állatvész,főnév
állatviadal,főnév
állatvilág,főnév
állcsont,főnév
álldogál,ige
allé,főnév
allegória,főnév
allegorikus,melléknév
allegorizál,ige
allegro,főnév|határozószó
alleluja,főnév|indulatszó
allergia,főnév
állgödör,főnév
állhatatlan,melléknév
állhatatos,melléknév
alligátor,főnév
állít,ige
állítás,főnév
állításköteles,főnév|melléknév
alliteráció,főnév
alliterál,ige
állítgat,ige
állítható,melléknév
állítmány,főnév
állítmányi,melléknév
állítmánykiegészítő,főnév|melléknév
állító,főnév|melléknév
állítólag,határozószó
állítólagos,melléknév
állj,főnév|mondatszó
állkapca,főnév
állkapocs,főnév
állkapocsficam,főnév
állkapocsgörcs,főnév
álló,főnév|melléknév
állócsillag,főnév
állógallér,főnév
állogat,ige
állóharc,főnév
állóhely,főnév
állóka,főnév
állókép,főnév
állóképes,melléknév
állólámpa,főnév
állólétra,főnév
állomány,főnév
állománycsoport,főnév
állomás,főnév
állomásfőnök,főnév
állomáshely,főnév
állomásozik,ige
állomásparancsnok,főnév
állong,ige
állóóra,főnév
állórajt,főnév
állótőke,főnév
állott,melléknév
állóvíz,főnév
allövet,főnév
állszíj,főnév
állta,főnév
álltó,melléknév
allűr,főnév
állvány,főnév
állványoz,ige
állványzat,főnév
alma,főnév
almabor,főnév
almacsutka,főnév
almafa,főnév
almahéj,főnév
almakompót,főnév
almamoly,főnév
almanach,főnév
almapüré,főnév
almárium,főnév
almás,melléknév
almásderes,főnév|melléknév
almásszürke,főnév|melléknév
almaszüret,főnév
álmatag,melléknév
almatermés,főnév
álmatlan,melléknév
álmatlanság,főnév
almazöld,főnév|melléknév
álmélkodás,főnév
álmélkodik,ige
álmodik,ige
álmodozik,ige
álmos,melléknév
álmosít,ige
álmoskönyv,főnév
álmosodik,ige
almoz,ige
alnem,főnév
alnémet,főnév|melléknév
álnév,főnév
álnok,melléknév
álnokság,főnév
aló,mondatszó
álobjektív,melléknév
áloé,főnév
álok,főnév
álokoskodás,főnév
alól,névutó|határozószó
alóla,határozószó
alom,főnév
álom,főnév
álomfejtés,főnév
álomhozó,melléknév
álomital,főnév
álomittas,melléknév
álomkép,főnév
álomkór,főnév
álomlátás,főnév
álomország,főnév
álompor,főnév
alomszalma,főnév
álomszerű,melléknév
álomszuszék,főnév
álomtalan,melléknév
áloműző,főnév|melléknév
álomvilág,főnév
álorca,főnév
alorvos,főnév
alosztály,főnév
álöltözet,főnév
alpakka,főnév
alpári,melléknév
álpátosz,főnév
alperes,főnév
alpesi,melléknév
alpinista,főnév
alpinizmus,főnév
alpolgármester,főnév
álprobléma,főnév
álpróféta,főnév
alrend,főnév
alrendű,főnév|melléknév
álromantika,főnév
álruha,főnév
álság,főnév
alsó,főnév|melléknév
alsóéves,főnév|melléknév
alsófogás,főnév
alsóház,főnév
alsóing,főnév
alsónadrág,főnév
alsónemű,főnév
alsórendű,melléknév
alsóruha,főnév
alsós,főnév|melléknév
alsószoknya,főnév
alsótábla,főnév
alsóváros,főnév
